Serial_number:,,,,,
2000706,,,,,
Project ID:,,,,,
ESC,,,,,
Location:,,,,,
EDC 50,,,,,
Elevation,Elevation of #153,,,,
560,396,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
Offset: 0.000000 kPa,,,,,
TEMPERATURE,,,,,
UNIT: _C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,kpa_ft
12/20/2013,8:01:50,0,100.676,17.109,0.374544567
12/20/2013,8:16:50,0,100.676,17.077,0.374544567
12/20/2013,8:31:50,0,100.697,17.046,0.381137362
12/20/2013,8:46:50,0,100.703,17.02,0.383021017
12/20/2013,9:01:50,0,100.73,17,0.391497467
12/20/2013,9:16:50,0,100.746,16.985,0.396520548
12/20/2013,9:31:50,0,100.75,16.975,0.397776318
12/20/2013,9:46:50,0,100.765,16.97,0.402485457
12/20/2013,10:01:50,0,100.775,16.966,0.405624883
12/20/2013,10:16:50,0,100.757,16.962,0.399973916
12/20/2013,10:31:50,0,100.743,16.959,0.39557872
12/20/2013,10:46:50,0,100.721,16.955,0.388671983
12/20/2013,11:01:50,0,100.723,16.952,0.389299869
12/20/2013,11:16:50,0,100.691,16.951,0.379253706
12/20/2013,11:31:50,0,100.686,16.99,0.377683993
12/20/2013,11:46:50,0,100.675,17.034,0.374230625
12/20/2013,12:01:50,0,100.646,17.08,0.36512629
12/20/2013,12:16:50,0,100.642,17.124,0.36387052
12/20/2013,12:31:50,0,100.627,17.118,0.359161381
12/20/2013,12:46:50,0,100.619,17.089,0.35664984
12/20/2013,13:01:50,0,100.604,17.065,0.351940702
12/20/2013,13:16:50,0,100.618,17.045,0.356335898
12/20/2013,13:31:50,0,100.62,17.029,0.356963783
12/20/2013,13:46:50,0,100.614,17.017,0.355080128
12/20/2013,14:01:50,0,100.632,17.011,0.360731094
12/20/2013,14:16:50,0,100.65,17.009,0.36638206
12/20/2013,14:31:50,0,100.651,17.012,0.366696003
12/20/2013,14:46:50,0,100.672,17.022,0.373288797
12/20/2013,15:01:50,0,100.677,17.039,0.37485851
12/20/2013,15:16:50,0,100.672,17.062,0.373288797
12/20/2013,15:31:50,0,100.663,17.089,0.370463314
12/20/2013,15:46:50,0,100.673,17.118,0.37360274
12/20/2013,16:01:50,0,100.683,17.146,0.376742166
12/20/2013,16:16:50,0,100.696,17.171,0.380823419
12/20/2013,16:31:50,0,100.697,17.194,0.381137362
12/20/2013,16:46:50,0,100.685,17.214,0.377370051
12/20/2013,17:01:50,0,100.696,17.232,0.380823419
12/20/2013,17:16:50,0,100.693,17.248,0.379881591
12/20/2013,17:31:50,0,100.703,17.262,0.383021017
12/20/2013,17:46:50,0,100.71,17.281,0.385218615
12/20/2013,18:01:50,0,100.729,17.301,0.391183524
12/20/2013,18:16:50,0,100.756,17.323,0.399659974
12/20/2013,18:31:50,0,100.76,17.343,0.400915744
12/20/2013,18:46:50,0,100.795,17.359,0.411903734
12/20/2013,19:01:50,0,100.805,17.373,0.41504316
12/20/2013,19:16:50,0,100.823,17.383,0.420694126
12/20/2013,19:31:50,0,100.858,17.392,0.431682117
12/20/2013,19:46:50,0,100.866,17.397,0.434193657
12/20/2013,20:01:50,0,100.885,17.401,0.440158566
12/20/2013,20:16:50,0,100.881,17.403,0.438902796
12/20/2013,20:31:50,0,100.889,17.403,0.441414337
12/20/2013,20:46:50,0,100.899,17.402,0.444553762
12/20/2013,21:01:50,0,100.941,17.399,0.457739351
12/20/2013,21:16:50,0,100.923,17.394,0.452088384
12/20/2013,21:31:50,0,100.898,17.388,0.44423982
12/20/2013,21:46:50,0,100.943,17.381,0.458367236
12/20/2013,22:01:50,0,100.944,17.373,0.458681178
12/20/2013,22:16:50,0,100.969,17.364,0.466529743
12/20/2013,22:31:50,0,100.957,17.354,0.462762432
12/20/2013,22:46:50,0,100.968,17.345,0.4662158
12/20/2013,23:01:50,0,101.005,17.334,0.477831676
12/20/2013,23:16:50,0,101.006,17.323,0.478145618
12/20/2013,23:31:50,0,101,17.311,0.476261963
12/20/2013,23:46:50,0,100.979,17.299,0.469669169
12/21/2013,0:01:50,0,100.975,17.285,0.468413398
12/21/2013,0:16:50,0,100.957,17.27,0.462762432
12/21/2013,0:31:50,0,100.926,17.257,0.453030212
12/21/2013,0:46:50,0,100.945,17.242,0.458995121
12/21/2013,1:01:50,0,100.947,17.227,0.459623006
12/21/2013,1:16:50,0,100.948,17.211,0.459936949
12/21/2013,1:31:50,0,100.942,17.194,0.458053293
12/21/2013,1:46:50,0,100.932,17.177,0.454913868
12/21/2013,2:01:50,0,100.928,17.159,0.453658097
12/21/2013,2:16:50,0,100.93,17.14,0.454285982
12/21/2013,2:31:50,0,100.943,17.119,0.458367236
12/21/2013,2:46:50,0,100.935,17.099,0.455855695
12/21/2013,3:01:50,0,100.945,17.078,0.458995121
12/21/2013,3:16:50,0,100.945,17.054,0.458995121
12/21/2013,3:31:50,0,100.922,17.03,0.451774442
12/21/2013,3:46:50,0,100.941,17.006,0.457739351
12/21/2013,4:01:50,0,100.954,16.982,0.461820604
12/21/2013,4:16:50,0,100.944,16.955,0.458681178
12/21/2013,4:31:50,0,100.94,16.93,0.457425408
12/21/2013,4:46:50,0,100.919,16.903,0.450832614
12/21/2013,5:01:50,0,100.926,16.878,0.453030212
12/21/2013,5:16:50,0,100.937,16.852,0.45648358
12/21/2013,5:31:50,0,100.96,16.825,0.46370426
12/21/2013,5:46:50,0,100.976,16.799,0.468727341
12/21/2013,6:01:50,0,100.992,16.773,0.473750422
12/21/2013,6:16:50,0,101.003,16.745,0.477203791
12/21/2013,6:31:50,0,101.009,16.719,0.479087446
12/21/2013,6:46:50,0,101.035,16.691,0.487249953
12/21/2013,7:01:50,0,101.033,16.665,0.486622068
12/21/2013,7:16:50,0,101.05,16.636,0.491959092
12/21/2013,7:31:50,0,101.054,16.609,0.493214862
12/21/2013,7:46:50,0,101.074,16.582,0.499493714
12/21/2013,8:01:50,0,101.112,16.555,0.511423532
12/21/2013,8:16:50,0,101.141,16.529,0.520527866
12/21/2013,8:31:50,0,101.159,16.502,0.526178833
12/21/2013,8:46:50,0,101.142,16.476,0.520841809
12/21/2013,9:01:50,0,101.157,16.442,0.525550948
12/21/2013,9:16:50,0,101.168,16.409,0.529004316
12/21/2013,9:31:50,0,101.173,16.378,0.530574029
12/21/2013,9:46:50,0,101.167,16.352,0.528690373
12/21/2013,10:01:50,0,101.171,16.33,0.529946144
12/21/2013,10:16:50,0,101.147,16.312,0.522411522
12/21/2013,10:31:50,0,101.142,16.296,0.520841809
12/21/2013,10:46:50,0,101.133,16.279,0.518016326
12/21/2013,11:01:50,0,101.134,16.266,0.518330268
12/21/2013,11:16:50,0,101.121,16.253,0.514249015
12/21/2013,11:31:50,0,101.07,16.241,0.498237943
12/21/2013,11:46:50,0,101.054,16.231,0.493214862
12/21/2013,12:01:50,0,101.046,16.225,0.490703321
12/21/2013,12:16:50,0,101.024,16.224,0.483796585
12/21/2013,12:31:50,0,101.025,16.228,0.484110527
12/21/2013,12:46:50,0,101.005,16.233,0.477831676
12/21/2013,13:01:50,0,101.006,16.241,0.478145618
12/21/2013,13:16:50,0,100.99,16.254,0.473122537
12/21/2013,13:31:50,0,100.984,16.27,0.471238882
12/21/2013,13:46:50,0,100.984,16.289,0.471238882
12/21/2013,14:01:50,0,100.989,16.309,0.472808594
12/21/2013,14:16:50,0,100.991,16.329,0.47343648
12/21/2013,14:31:50,0,100.988,16.351,0.472494652
12/21/2013,14:46:50,0,100.974,16.374,0.468099456
12/21/2013,15:01:50,0,100.989,16.4,0.472808594
12/21/2013,15:16:50,0,101,16.432,0.476261963
12/21/2013,15:31:50,0,101.013,16.469,0.480343216
12/21/2013,15:46:50,0,101.022,16.506,0.4831687
12/21/2013,16:01:50,0,101.024,16.545,0.483796585
12/21/2013,16:16:50,0,101.04,16.584,0.488819666
12/21/2013,16:31:50,0,101.056,16.622,0.493842747
12/21/2013,16:46:50,0,101.071,16.656,0.498551886
12/21/2013,17:01:50,0,101.09,16.689,0.504516795
12/21/2013,17:16:50,0,101.102,16.72,0.508284106
12/21/2013,17:31:50,0,101.126,16.748,0.515818728
12/21/2013,17:46:50,0,101.139,16.775,0.519899981
12/21/2013,18:01:50,0,101.143,16.8,0.521155752
12/21/2013,18:16:50,0,101.157,16.823,0.525550948
12/21/2013,18:31:50,0,101.177,16.844,0.531829799
12/21/2013,18:46:50,0,101.186,16.863,0.534655282
12/21/2013,19:01:50,0,101.193,16.88,0.53685288
12/21/2013,19:16:50,0,101.186,16.894,0.534655282
12/21/2013,19:31:50,0,101.211,16.907,0.542503847
12/21/2013,19:46:50,0,101.233,16.917,0.549410584
12/21/2013,20:01:50,0,101.249,16.927,0.554433665
12/21/2013,20:16:50,0,101.261,16.934,0.558200976
12/21/2013,20:31:50,0,101.256,16.94,0.556631263
12/21/2013,20:46:50,0,101.287,16.944,0.566363483
12/21/2013,21:01:50,0,101.306,16.946,0.572328392
12/21/2013,21:16:50,0,101.334,16.948,0.581118784
12/21/2013,21:31:50,0,101.356,16.949,0.588025521
12/21/2013,21:46:50,0,101.374,16.948,0.593676487
12/21/2013,22:01:50,0,101.385,16.947,0.597129856
12/21/2013,22:16:50,0,101.388,16.945,0.598071683
12/21/2013,22:31:50,0,101.399,16.943,0.601525052
12/21/2013,22:46:50,0,101.406,16.94,0.60372265
12/21/2013,23:01:50,0,101.408,16.938,0.604350535
12/21/2013,23:16:50,0,101.413,16.933,0.605920248
12/21/2013,23:31:50,0,101.423,16.927,0.609059673
12/21/2013,23:46:50,0,101.426,16.92,0.610001501
12/22/2013,0:01:50,0,101.421,16.912,0.608431788
12/22/2013,0:16:50,0,101.412,16.904,0.605606305
12/22/2013,0:31:50,0,101.411,16.895,0.605292363
12/22/2013,0:46:50,0,101.396,16.886,0.600583224
12/22/2013,1:01:50,0,101.398,16.876,0.601211109
12/22/2013,1:16:50,0,101.406,16.865,0.60372265
12/22/2013,1:31:50,0,101.418,16.854,0.607489961
12/22/2013,1:46:50,0,101.426,16.842,0.610001501
12/22/2013,2:01:50,0,101.434,16.827,0.612513042
12/22/2013,2:16:50,0,101.45,16.812,0.617536123
12/22/2013,2:31:50,0,101.47,16.796,0.623814975
12/22/2013,2:46:50,0,101.481,16.779,0.627268343
12/22/2013,3:01:50,0,101.489,16.761,0.629779884
12/22/2013,3:16:50,0,101.5,16.742,0.633233252
12/22/2013,3:31:50,0,101.509,16.722,0.636058735
12/22/2013,3:46:50,0,101.532,16.701,0.643279415
12/22/2013,4:01:50,0,101.551,16.681,0.649244324
12/22/2013,4:16:50,0,101.544,16.66,0.647046725
12/22/2013,4:31:50,0,101.557,16.638,0.651127979
12/22/2013,4:46:50,0,101.568,16.615,0.654581347
12/22/2013,5:01:50,0,101.575,16.591,0.656778945
12/22/2013,5:16:50,0,101.584,16.566,0.659604429
12/22/2013,5:31:50,0,101.597,16.541,0.663685682
12/22/2013,5:46:50,0,101.617,16.513,0.669964534
12/22/2013,6:01:50,0,101.635,16.488,0.6756155
12/22/2013,6:16:50,0,101.648,16.46,0.679696754
12/22/2013,6:31:50,0,101.662,16.433,0.68409195
12/22/2013,6:46:50,0,101.677,16.404,0.688801088
12/22/2013,7:01:50,0,101.697,16.375,0.69507994
12/22/2013,7:16:50,0,101.714,16.347,0.700416964
12/22/2013,7:31:50,0,101.727,16.315,0.704498217
12/22/2013,7:46:50,0,101.733,16.282,0.706381873
12/22/2013,8:01:50,0,101.752,16.253,0.712346782
12/22/2013,8:16:50,0,101.762,16.224,0.715486208
12/22/2013,8:31:50,0,101.78,16.195,0.721137174
12/22/2013,8:46:50,0,101.804,16.171,0.728671796
12/22/2013,9:01:50,0,101.823,16.163,0.734636705
12/22/2013,9:16:50,0,101.844,16.175,0.741229499
12/22/2013,9:31:50,0,101.846,16.191,0.741857384
12/22/2013,9:46:50,0,101.851,16.204,0.743427097
12/22/2013,10:01:50,0,101.854,16.209,0.744368925
12/22/2013,10:16:50,0,101.846,16.208,0.741857384
12/22/2013,10:31:50,0,101.842,16.203,0.740601614
12/22/2013,10:46:50,0,101.835,16.194,0.738404016
12/22/2013,11:01:50,0,101.815,16.185,0.732125164
12/22/2013,11:16:50,0,101.79,16.174,0.7242766
12/22/2013,11:31:50,0,101.763,16.165,0.71580015
12/22/2013,11:46:50,0,101.742,16.156,0.709207356
12/22/2013,12:01:50,0,101.728,16.149,0.70481216
